generation,highest_score,average_score,lowest_score,total_wins,total_losses,total_draws,highest_defection_rate,average_defection_rate,lowest_defection_rate
88,8845,8539.54,0,8608,8608,2584,0.5178037023099117,0.5173531888966544,0.51672251790525
89,8864,8524.75,0,8632,8632,2536,0.5179248626617048,0.5174573808258017,0.5169354362336819
90,8862,8523.85,0,8598,8598,2604,0.5181455970929655,0.5175200822569246,0.5169421222052801
91,8818,8540.25,0,8593,8593,2614,0.5182430714467328,0.5177839897834178,0.5169457735247209
92,8799,8530.65,0,8580,8580,2640,0.5183841813722968,0.5176754528876769,0.516949346321163
93,8883,8543.85,0,8600,8600,2600,0.5182479894126031,0.517799608628276,0.5170829232979289
94,8790,8524.83,0,8620,8620,2560,0.518316125241333,0.5175863622373316,0.516995439156104
95,8818,8534.82,0,8569,8569,2662,0.518313618642566,0.5175700812954102,0.5170316099592416
96,8863,8530.66,0,8639,8639,2522,0.5182316929468314,0.517605846857068,0.5172369380182728
97,8869,8541.79,0,8593,8593,2614,0.5182219618309843,0.5177425435884083,0.5173024552723801
98,8912,8531.66,0,8621,8621,2558,0.5181533570688276,0.5176551533409587,0.5173854440202128
99,8799,8532.92,0,8594,8594,2612,0.5183732057416268,0.5178626262626262,0.5174667729930887
100,8906,8518.26,0,8646,8646,2508,0.5184807954479659,0.5181017838625968,0.5176096557024124
101,8760,8531.91,0,8636,8636,2528,0.5186331842678592,0.5180678039424168,0.5175073750925144
102,8814,8541.79,0,8570,8570,2660,0.5187490644823297,0.5181701016294781,0.517659992877162
103,8826,8536.12,0,8581,8581,2638,0.5187170285854497,0.5182652946468735,0.5178122316280211
104,8876,8542.98,0,8603,8603,2594,0.5186501607554239,0.518386294017873,0.5179438495227969
105,8797,8535.85,0,8564,8564,2672,0.5188378321446842,0.5185348269186402,0.5180253377870061
106,8811,8521.63,0,8550,8550,2700,0.5188505815657808,0.5185965905985584,0.5182121261806456
107,8834,8534.04,0,8631,8631,2538,0.5189787740957331,0.5187021531100481,0.5183265402563648
108,8809,8530.73,0,8578,8578,2644,0.5190680342780777,0.518805729921133,0.518490067258778
109,8799,8531.97,0,8553,8553,2694,0.5191943357015127,0.5188176018558792,0.5184210526315789
110,8874,8527.57,0,8581,8581,2638,0.5192465192465192,0.5188178130283394,0.5183987815566763
111,8791,8514.74,0,8584,8584,2632,0.519330997949419,0.5188817925495555,0.5184552289815447
112,8895,8529.72,0,8584,8584,2632,0.5192963637304578,0.518825304747522,0.5184471637662136
113,8782,8525.86,0,8620,8620,2560,0.5193626010800526,0.5188190305641831,0.5184019325293564
114,8832,8527.15,0,8632,8632,2536,0.5194739153549223,0.5189514596768601,0.5183551764787463
115,8769,8528.89,0,8603,8603,2594,0.5194641514968193,0.5190258070725404,0.5184604667363288
116,8802,8529.16,0,8576,8576,2648,0.5195590634187125,0.5190900684760335,0.5185366939752905
117,8840,8522.01,0,8576,8576,2648,0.519602807738401,0.5192740067940782,0.5188076122509664
118,8800,8527.3,0,8604,8604,2592,0.5196525181045305,0.5193396146337323,0.5191030160070408
119,8762,8526.61,0,8587,8587,2626,0.5197457026404395,0.5193684210526317,0.5190191387559808
120,8991,8539.52,0,8629,8629,2542,0.5197231119371181,0.5194056484813333,0.5189981590590551
121,8826,8535.09,0,8648,8648,2504,0.5198229055002135,0.5195581788549866,0.5191060736789813
122,8815,8526.12,0,8570,8570,2660,0.519903787554622,0.5196816690654944,0.5194196997791349
123,8839,8523.42,0,8608,8608,2584,0.5199897960933615,0.5197731774450792,0.5193852789353638
124,8837,8535.87,0,8633,8633,2534,0.5199744816586922,0.5197908346624134,0.5195832004253057
125,8836,8530.06,0,8599,8599,2602,0.5199994936837042,0.5198290127676094,0.5196366336717214
126,8989,8538.04,0,8563,8563,2674,0.5201308568486356,0.5198829572140803,0.5197017836885222
127,8811,8531.91,0,8607,8607,2586,0.5202040968899522,0.5199454661749069,0.5197721458001063
128,8952,8541.14,0,8540,8540,2720,0.5202288078665067,0.5199445907463044,0.5196930545767755
129,8790,8530.14,0,8571,8571,2658,0.5202142886353412,0.5199169222590274,0.5196949249580829
130,8805,8532.67,0,8611,8611,2578,0.5202527484568464,0.5198958041645869,0.5196156015762283
131,8796,8530.28,0,8610,8610,2580,0.5201919514120471,0.5199071254812881,0.5196985807033654
132,8855,8522.19,0,8629,8629,2542,0.5202319994563762,0.519989847025858,0.5196104295827287
133,8846,8517.8,0,8612,8612,2576,0.520321042316329,0.5200638355273076,0.5197576709752671
134,8864,8521.37,0,8645,8645,2510,0.5203910449524485,0.5201032547699217,0.5197767145135567
135,8831,8524.34,0,8632,8632,2536,0.5204170184820339,0.5201473520030021,0.5198032961190856
136,8762,8522.61,0,8601,8601,2598,0.520429030993764,0.5201312394013123,0.5198333701983338
137,8810,8532.38,0,8609,8609,2582,0.5204312383946251,0.5201890761158497,0.5199246469269353
138,8752,8531.2,0,8602,8602,2596,0.5204850473688035,0.5202782080555651,0.5198883955036927
139,8840,8525.38,0,8606,8606,2588,0.5205285942128047,0.520349700007595,0.5201431609326346
140,8902,8521.94,0,8560,8560,2680,0.5206129982165817,0.5203879406231033,0.5201548896957632
141,8908,8520.73,0,8633,8633,2534,0.5205651773479795,0.5204015507184523,0.5201327582721208
142,8814,8524.45,0,8621,8621,2558,0.5206685924389274,0.5204559210061603,0.5201741373990177
143,8810,8507.23,0,8609,8609,2582,0.5207834928229665,0.5205038691003603,0.5202961633882687
144,8853,8528.07,0,8589,8589,2622,0.5208344790921924,0.5205530990485618,0.520361509835194
145,8817,8532.52,0,8633,8633,2534,0.5207463969179903,0.5205504030936622,0.520369520730011
146,8790,8526.15,0,8566,8566,2668,0.5207228026776899,0.5205171659306999,0.5202833924638436
147,8830,8529.65,0,8600,8600,2600,0.5207210799316062,0.5204902330560226,0.5201840596577438
148,8776,8528.93,0,8614,8614,2572,0.520813932329298,0.5204850161808832,0.5202091562035045
149,8871,8527.28,0,8618,8618,2564,0.5207814992025518,0.5204449229133439,0.5201665780613149
150,8869,8523.62,0,8629,8629,2542,0.5208339934725434,0.5204843133319956,0.5202741954223307
151,8803,8526.74,0,8592,8592,2616,0.5208263381739836,0.5205772055737432,0.5202142617308823
152,8785,8515.85,0,8609,8609,2582,0.5209160750956416,0.5206592759379141,0.5204852098556949
153,8734,8533.95,0,8580,8580,2640,0.5209822075850784,0.5207048268053052,0.5204920013532454
154,8838,8526.08,0,8687,8687,2426,0.520996038483305,0.520710071856082,0.520531289122121
155,8788,8529.72,0,8619,8619,2562,0.5210284355021197,0.5207932905301326,0.5204133098869941
156,8840,8524.69,0,8646,8646,2508,0.521106133409184,0.5208023242820425,0.5205237084217976
157,8907,8524.6,0,8631,8631,2538,0.5211189173547601,0.5207773941951158,0.5205132605199227
158,8807,8523.78,0,8603,8603,2594,0.5212201458477526,0.5209117825056258,0.5205330364218149
159,8838,8519.09,0,8612,8612,2576,0.5212220893141946,0.5209643640350875,0.5207286682615629
160,8809,8522.09,0,8548,8548,2704,0.5211926390416093,0.5209313798329815,0.5206511007426339
161,8837,8512.94,0,8567,8567,2666,0.5211848832706533,0.5209615157422174,0.5206220752029719
162,8799,8532.3,0,8615,8615,2570,0.5212506074630712,0.5208622224831462,0.520531436417778
163,8785,8518.62,0,8650,8650,2500,0.5213268759481853,0.5209499682317397,0.5205423944191595
164,8860,8509.96,0,8611,8611,2578,0.5214360511011229,0.5211241924830442,0.5205242214811593
165,8756,8529.15,0,8642,8642,2516,0.5215615252076888,0.5211234411329526,0.5205799273649623
166,8749,8514.73,0,8614,8614,2572,0.5215438341817163,0.5211937528451869,0.5206270075479026
167,8739,8513.58,0,8593,8593,2614,0.5216149591149591,0.5212384180147337,0.5205975798081062
168,8784,8514.6,0,8604,8604,2592,0.5216349102988779,0.5213214360987639,0.5206219781118566
169,8814,8517.73,0,8605,8605,2590,0.5216405541482941,0.5213279075585576,0.5206163805235012
170,8761,8517.02,0,8589,8589,2622,0.5216927663834404,0.521409369160985,0.5206714731183799
171,8854,8505.9,0,8550,8550,2700,0.5217273716355724,0.5213690145024296,0.5207197433329624
172,8825,8525.59,0,8642,8642,2516,0.5217108720303123,0.5212335094172634,0.5206307062102621
173,8807,8525.47,0,8591,8591,2618,0.521686923683294,0.5210834906842168,0.5207626782036945
174,8830,8534.94,0,8607,8607,2586,0.5216586921850079,0.5212156603630288,0.5206956785904154
175,8849,8524.79,0,8642,8642,2516,0.5217455657048958,0.5211554540621524,0.5207321419941037
176,8757,8526.72,0,8634,8634,2532,0.5216887879688951,0.5210869473804354,0.5207366558838459
177,8893,8531.92,0,8618,8618,2564,0.5212593110286783,0.5209915834871485,0.5206724250189655
178,9026,8517.06,0,8600,8600,2600,0.5212593443995973,0.5209805493927813,0.5207262272831223
179,8793,8529.25,0,8662,8662,2476,0.5213022033197472,0.5210036623545398,0.5206598145194636
180,8811,8506.5,0,8635,8635,2530,0.5212858447810469,0.5209505640881041,0.5206308505232611
181,8862,8510.44,0,8663,8663,2474,0.521158665895508,0.5209034532718743,0.5206664680348891
182,8803,8513.65,0,8675,8675,2450,0.5211999198194194,0.5209142910264566,0.5206740978958407
183,8744,8505.32,0,8563,8563,2674,0.5211916071469848,0.5209087152994473,0.5207220950928044
184,8757,8524.86,0,8619,8619,2562,0.5212796528586002,0.5208577955946379,0.5206833627886259
185,8787,8512.63,0,8560,8560,2680,0.521019476027965,0.5208469099598133,0.5206950661110253
186,8764,8517.12,0,8595,8595,2610,0.5210947072753996,0.5208675980178935,0.5207137516453587
187,8884,8519.74,0,8656,8656,2488,0.5211451016322237,0.5209146617349305,0.5206954766025315
188,8760,8513.02,0,8646,8646,2508,0.521221684964375,0.5209362491526233,0.5207294330101347
189,8813,8524.55,0,8616,8616,2568,0.5211855396065922,0.5209900668737233,0.5208175942247965
190,8757,8532.19,0,8622,8622,2556,0.5211539478555185,0.520989489828013,0.5208658644866967
191,8844,8510.21,0,8653,8653,2494,0.5211711412369308,0.5209727621610846,0.5208388711678186
192,8833,8511.09,0,8605,8605,2590,0.5211647425991577,0.5209966311602527,0.5208562307007902
193,8778,8513.47,0,8535,8535,2730,0.521237880706139,0.5210081964517665,0.520770647330604
194,8767,8521.49,0,8596,8596,2608,0.5212502896713423,0.5209969192600772,0.5208018102754944
195,8826,8526.25,0,8613,8613,2574,0.5211866245700832,0.5209960914190236,0.5207851880784211
196,8841,8523.15,0,8669,8669,2462,0.5212409966617821,0.5209966213025253,0.520778179875161
197,8827,8521.48,0,8613,8613,2574,0.5212276942739462,0.5209739876167309,0.5207994350737573
198,8834,8520.37,0,8613,8613,2574,0.5212773062548254,0.5210390869819593,0.5207804038801129
199,8703,8510.41,0,8625,8625,2550,0.5213197767145136,0.5210213450292397,0.520829346092504
200,8822,8530.49,0,8624,8624,2552,0.5213115708009659,0.5210927552561487,0.520815645324679
201,8886,8525.78,0,8699,8699,2402,0.5213784536348371,0.5211386928166503,0.5208231349450735
202,8851,8512.71,0,8600,8600,2600,0.5213503979384198,0.521093459877489,0.5208685244982886
203,8766,8516.63,0,8606,8606,2588,0.5213617078942157,0.5211642743221692,0.5207740459288447
204,8836,8506.24,0,8665,8665,2470,0.5214079174284566,0.5211606955304002,0.5208140454610287
205,8844,8508.16,0,8591,8591,2618,0.521448516849641,0.5212020950434338,0.5208201070490288
206,8816,8514.5,0,8599,8599,2602,0.5214347903135088,0.5212738752898937,0.5210919261262511
207,8932,8519.88,0,8637,8637,2526,0.5214927616243406,0.5213248502228766,0.5210608105344947
208,8843,8526.94,0,8623,8623,2554,0.5215094790768424,0.5212901235981066,0.5210528859483783
209,8799,8527.1,0,8602,8602,2596,0.5214640135692767,0.521296992481203,0.5211336421862738
210,8801,8518.41,0,8623,8623,2554,0.5214454346407452,0.5212828081261603,0.5211040310815815
211,8837,8509.9,0,8648,8648,2504,0.5214671541632813,0.5213375688363275,0.5211662303271042
212,8783,8517.42,0,8671,8671,2458,0.5215111330752547,0.521400813172496,0.5212116220270409
213,8818,8513.97,0,8642,8642,2516,0.5215534588382597,0.5214474181062965,0.5213634127800385
214,8798,8507.78,0,8659,8659,2482,0.5216361905468393,0.5214722253131066,0.5212788843143801
215,8879,8524.97,0,8623,8623,2554,0.5216590859865714,0.5214826751924705,0.5213280465473448
216,8782,8511.95,0,8622,8622,2556,0.5216290971808799,0.5214844907968846,0.5213142827743846
217,8799,8513.12,0,8573,8573,2654,0.5216883953001771,0.5215091035902237,0.521316496690712
218,8745,8498.3,0,8580,8580,2640,0.5217034560942275,0.5215418059469971,0.5214060819684467
219,8842,8503.91,0,8662,8662,2476,0.5217280460103426,0.5215627205065002,0.5213836933932627
220,8813,8509.38,0,8606,8606,2588,0.5217379799423143,0.5215878239407652,0.5214336746844487
221,8827,8511.26,0,8672,8672,2456,0.5217681796629166,0.5216226513594934,0.521483205693732
222,8852,8510.8,0,8622,8622,2556,0.5217420845223536,0.5216125975354202,0.5214834204685515
